driverStandingsId,raceId,driverId,points,position,positionText,wins
657,23,97,1,22,22,0
658,23,132,0,23,23,0
659,23,18,0,24,24,0
660,23,100,0,25,25,0
661,23,116,0,26,26,0
662,23,121,0,27,27,0
663,23,81,0,28,28,0
664,23,131,0,29,29,0
665,23,102,0,30,30,0
666,24,24,9,1,1,1
667,24,26,6,2,2,0
668,24,27,4,3,3,0
669,24,129,3,4,4,0
670,24,164,2,5,5,0
671,24,111,0,6,6,0
672,24,31,0,7,7,0
673,24,29,0,8,8,0
674,24,165,0,9,9,0
675,24,113,0,10,10,0
676,24,28,0,11,11,0
677,24,13,0,12,12,0
678,24,64,0,13,13,0
679,24,1,0,14,14,0
680,24,166,0,15,15,0
681,24,167,0,16,16,0
682,24,168,0,17,17,0
683,25,24,9,1,1,1
684,25,97,9,2,2,1
685,25,120,6,3,3,0
686,25,26,6,4,4,0
687,25,27,4,5,5,0
688,25,129,3,6,6,0
689,25,46,2,7,7,0
690,25,89,2,8,8,0
691,25,164,2,9,9,0
692,25,48,2,10,10,0
693,25,43,1.5,11,11,0
694,25,63,1.5,12,12,0
695,25,111,0,13,13,0
696,25,169,0,14,14,0
697,25,58,0,15,15,0
698,25,126,0,16,16,0
699,25,31,0,17,17,0
700,25,29,0,18,18,0
701,25,165,0,19,19,0
702,25,170,0,20,20,0
703,25,92,0,21,21,0
704,25,50,0,22,22,0
705,25,39,0,23,23,0
706,25,113,0,24,24,0
707,25,51,0,25,25,0
708,25,87,0,26,26,0
709,25,128,0,27,27,0
710,25,90,0,28,28,0
711,25,83,0,29,29,0
712,25,121,0,30,30,0
713,26,24,17,1,1,2
714,26,97,9,2,2,1
715,26,26,7,3,3,0
716,26,1,6,4,4,0
717,26,120,6,5,5,0
718,26,27,6,6,6,0
719,26,129,6,7,7,0
720,26,64,2,8,8,0
721,26,46,2,9,9,0
722,26,89,2,10,10,0
723,26,18,2,11,11,0
724,26,164,2,12,12,0
725,26,48,2,13,13,0
726,26,43,1.5,14,14,0
727,26,63,1.5,15,15,0
728,26,29,0,16,16,0
729,26,111,0,17,17,0
730,26,169,0,18,18,0
731,26,58,0,19,19,0
732,26,31,0,20,20,0
733,26,126,0,21,21,0
734,26,5,0,22,22,0
735,26,165,0,23,23,0
736,26,116,0,24,24,0
737,26,170,0,25,25,0
738,26,92,0,26,26,0
739,26,50,0,27,27,0
740,26,39,0,28,28,0
741,26,113,0,29,29,0
742,26,78,0,30,30,0
743,27,24,25,1,1,3
744,27,26,13,2,2,0
745,27,97,9,3,3,1
746,27,27,7,4,4,0
747,27,1,6,5,5,0
748,27,120,6,6,6,0
749,27,129,6,7,7,0
750,27,18,5,8,8,0
751,27,101,4,9,9,0
752,27,64,2,10,10,0
753,27,46,2,11,11,0
754,27,89,2,12,12,0
755,27,29,2,13,13,0
756,27,164,2,14,14,0
757,27,48,2,15,15,0
758,27,43,1.5,16,16,0
759,27,63,1.5,17,17,0
760,27,111,0,18,18,0
761,27,169,0,19,19,0
762,27,31,0,20,20,0
763,27,5,0,21,21,0
764,27,58,0,22,22,0
765,27,126,0,23,23,0
766,27,116,0,24,24,0
767,27,165,0,25,25,0
768,27,170,0,26,26,0
769,27,92,0,27,27,0
770,27,50,0,28,28,0
771,27,39,0,29,29,0
772,27,113,0,30,30,0
773,28,24,28,1,1,3
774,28,129,14,2,2,1
775,28,26,13,3,3,0
776,28,27,11,4,4,0
777,28,97,9,5,5,1
778,28,1,8,6,6,0
779,28,13,7,7,7,0
780,28,120,6,8,8,0
781,28,18,5,9,9,0
782,28,101,4,10,10,0
783,28,64,2,11,11,0
784,28,46,2,12,12,0
785,28,89,2,13,13,0
786,28,29,2,14,14,0
787,28,164,2,15,15,0
788,28,48,2,16,16,0
789,28,43,1.5,17,17,0
790,28,63,1.5,18,18,0
791,28,111,0,19,19,0
792,28,169,0,20,20,0
793,28,31,0,21,21,0
794,28,5,0,22,22,0
795,28,58,0,23,23,0
796,28,126,0,24,24,0
797,28,116,0,25,25,0
798,28,165,0,26,26,0
799,28,170,0,27,27,0
800,28,78,0,28,28,0
801,28,92,0,29,29,0
802,28,50,0,30,30,0
803,29,24,33.5,1,1,4
804,29,129,16,2,2,1
805,29,27,13.5,3,3,0
806,29,26,13,4,4,0
807,29,13,13,5,5,0
808,29,1,12,6,6,0
809,29,97,9,7,7,1
810,29,120,6,8,8,0
811,29,18,5,9,9,0
812,29,101,4,10,10,0
813,29,64,2,11,11,0
814,29,46,2,12,12,0
815,29,89,2,13,13,0
816,29,29,2,14,14,0
817,29,164,2,15,15,0
818,29,48,2,16,16,0
819,29,43,1.5,17,17,0
820,29,63,1.5,18,18,0
821,29,111,0,19,19,0
822,29,169,0,20,20,0
823,29,31,0,21,21,0
824,29,5,0,22,22,0
825,29,58,0,23,23,0
826,29,15,0,24,24,0
827,29,126,0,25,25,0
828,29,116,0,26,26,0
829,29,112,0,27,27,0
830,29,165,0,28,28,0
831,29,170,0,29,29,0
832,29,113,0,30,30,0
833,30,24,33.5,1,1,4
834,30,1,20,2,2,1
835,30,13,19,3,3,0
836,30,129,18,4,4,1
837,30,27,13.5,5,5,0
838,30,26,13,6,6,0
839,30,97,9,7,7,1
840,30,18,7,8,8,0
841,30,120,6,9,9,0
842,30,64,5,10,10,0
843,30,101,4,11,11,0
844,30,46,2,12,12,0
845,30,89,2,13,13,0
846,30,29,2,14,14,0
847,30,164,2,15,15,0
848,30,48,2,16,16,0
849,30,43,1.5,17,17,0
850,30,63,1.5,18,18,0
851,30,78,0,19,19,0
852,30,111,0,20,20,0
853,30,169,0,21,21,0
854,30,31,0,22,22,0
855,30,5,0,23,23,0
856,30,58,0,24,24,0
857,30,15,0,25,25,0
858,30,126,0,26,26,0
859,30,105,0,27,27,0
860,30,116,0,28,28,0
861,30,112,0,29,29,0
862,30,165,0,30,30,0
863,31,24,34.5,1,1,5
864,31,1,24,2,2,1
865,31,13,20.5,3,3,0
866,31,129,19,4,4,1
867,31,27,13.5,5,5,0
868,31,26,13,6,6,0
869,31,97,9,7,7,1
870,31,18,7,8,8,0
871,31,64,6.5,9,9,0
872,31,120,6,10,10,0
873,31,101,4,11,11,0
874,31,46,2,12,12,0
875,31,89,2,13,13,0
876,31,29,2,14,14,0
877,31,164,2,15,15,0
878,31,186,2,16,16,0
879,31,48,2,17,17,0
880,31,43,1.5,18,18,0
881,31,63,1.5,19,19,0
882,31,78,0,20,20,0
883,31,111,0,21,21,0
884,31,169,0,22,22,0
885,31,31,0,23,23,0
886,31,5,0,24,24,0
887,31,112,0,25,25,0
888,31,58,0,26,26,0
889,31,15,0,27,27,0
890,31,105,0,28,28,0
891,31,126,0,29,29,0
892,31,116,0,30,30,0
893,32,24,34.5,1,1,5
894,32,13,28,2,2,1
895,32,1,26,3,3,1
896,32,129,19,4,4,1
897,32,26,17,5,5,0
898,32,27,13.5,6,6,0
899,32,97,9,7,7,1
900,32,18,7,8,8,0
901,32,64,6.5,9,9,0
902,32,120,6,10,10,0
903,32,101,4,11,11,0
904,32,29,4,12,12,0
905,32,46,2,13,13,0
906,32,89,2,14,14,0
907,32,164,2,15,15,0
908,32,186,2,16,16,0
909,32,48,2,17,17,0
910,32,43,1.5,18,18,0
911,32,63,1.5,19,19,0
912,32,78,0,20,20,0
913,32,111,0,21,21,0
914,32,173,0,22,22,0
915,32,169,0,23,23,0
916,32,31,0,24,24,0
917,32,5,0,25,25,0
918,32,112,0,26,26,0
919,32,15,0,27,27,0
920,32,58,0,28,28,0
921,32,105,0,29,29,0
922,32,126,0,30,30,0
923,33,13,8,1,1,1
924,33,1,6,2,2,0
925,33,27,5,3,3,0
926,33,29,3,4,4,0
927,33,162,2,5,5,0
928,33,31,0,6,6,0
929,33,15,0,7,7,0
930,33,18,0,8,8,0
931,33,190,0,9,9,0
932,33,101,0,10,10,0
933,33,173,0,11,11,0
934,33,192,0,12,12,0
935,33,193,0,13,13,0
936,33,5,0,14,14,0
937,33,188,0,15,15,0
938,33,166,0,16,16,0
939,34,13,8,1,1,1
940,34,97,8,2,2,1
941,34,121,6,3,3,0
942,34,1,6,4,4,0
943,34,27,5,5,5,0
944,34,48,5,6,6,0
945,34,29,3,7,7,0
946,34,162,2,8,8,0
947,34,82,2,9,9,0
948,34,46,1.5,10,10,0
949,34,49,1.5,11,11,0
950,34,63,0,12,12,0
951,34,31,0,13,13,0
952,34,15,0,14,14,0
953,34,194,0,15,15,0
954,34,55,0,16,16,0
955,34,18,0,17,17,0
956,34,43,0,18,18,0
957,34,195,0,19,19,0
958,34,190,0,20,20,0
959,34,196,0,21,21,0
960,34,51,0,22,22,0
961,34,89,0,23,23,0
962,34,84,0,24,24,0
963,34,34,0,25,25,0
964,34,120,0,26,26,0
965,34,41,0,27,27,0
966,34,92,0,28,28,0
967,34,83,0,29,29,0
968,34,127,0,30,30,0
969,35,13,17,1,1,2
970,35,29,9,2,2,0
971,35,97,8,3,3,1
972,35,27,6.5,4,4,0
973,35,1,6,5,5,0
974,35,121,6,6,6,0
975,35,48,5,7,7,0
976,35,78,4,8,8,0
977,35,162,2,9,9,0
978,35,82,2,10,10,0
979,35,98,2,11,11,0
980,35,46,1.5,12,12,0
981,35,129,1.5,13,13,0
982,35,49,1.5,14,14,0
983,35,15,0,15,15,0
