resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21885,907,786,192,27.0,9,7.0,7,7,6.0,67,+1:04.178,5687092.0,44.0,13.0,1:22.098,200.570,1
21886,907,738,114,22.0,11,8.0,8,8,4.0,67,+1:24.711,5707625.0,64.0,8.0,1:21.346,202.424,1
21887,907,803,114,20.0,4,9.0,9,9,2.0,66,,,56.0,2.0,1:20.224,205.255,15
21888,907,794,192,11.0,10,10.0,10,10,1.0,66,,,54.0,4.0,1:20.752,203.913,15
21889,907,741,6,7.0,12,11.0,11,11,0.0,66,,,55.0,7.0,1:21.338,202.444,15
21890,907,793,197,13.0,18,12.0,12,12,0.0,66,,,41.0,15.0,1:22.305,200.065,15
21891,907,796,186,25.0,13,13.0,13,13,0.0,66,,,58.0,11.0,1:21.876,201.113,15
21892,907,798,176,21.0,16,14.0,14,14,0.0,66,,,61.0,12.0,1:22.008,200.790,15
21893,907,800,198,17.0,17,15.0,15,15,0.0,66,,,57.0,16.0,1:22.522,199.539,15
21894,907,785,199,10.0,19,16.0,16,16,0.0,65,,,50.0,18.0,1:22.866,198.711,2
21895,907,801,198,4.0,21,17.0,17,17,0.0,65,,,50.0,19.0,1:23.035,198.306,2
21896,907,805,199,9.0,22,18.0,18,18,0.0,65,,,49.0,20.0,1:23.230,197.842,2
21897,907,776,176,99.0,15,,R,19,0.0,47,,,41.0,17.0,1:22.529,199.522,37
21898,907,804,186,26.0,8,,R,20,0.0,44,,,34.0,14.0,1:22.179,200.372,6
21899,907,784,197,8.0,14,,R,21,0.0,26,,,26.0,21.0,1:24.137,195.709,70
21900,907,749,137,19.0,3,,R,22,0.0,0,,,,,,,18
21901,908,795,185,3.0,4,1.0,1,1,25.0,70,1:53:05.058,6785058.0,58.0,2.0,1:26.608,182.103,1
21902,908,742,6,14.0,5,2.0,2,2,18.0,70,+5.225,6790283.0,40.0,5.0,1:27.419,180.413,1
21903,908,774,45,44.0,22,3.0,3,3,15.0,70,+5.857,6790915.0,36.0,4.0,1:27.380,180.494,1
21904,908,768,45,6.0,1,4.0,4,4,12.0,70,+6.361,6791419.0,64.0,1.0,1:25.724,183.981,1
21905,908,749,137,19.0,6,5.0,5,5,10.0,70,+29.841,6814899.0,51.0,7.0,1:28.229,178.757,1
21906,908,741,6,7.0,16,6.0,6,6,8.0,70,+31.491,6816549.0,47.0,6.0,1:27.983,179.257,1
21907,908,777,185,1.0,2,7.0,7,7,6.0,70,+40.964,6826022.0,52.0,9.0,1:28.746,177.716,1
21908,908,799,137,77.0,3,8.0,8,8,4.0,70,+41.344,6826402.0,63.0,3.0,1:26.850,181.595,1
21909,908,796,186,25.0,8,9.0,9,9,2.0,70,+58.527,6843585.0,31.0,11.0,1:29.120,176.970,1
21910,908,738,114,22.0,7,10.0,10,10,1.0,70,+1:07.280,6852338.0,50.0,13.0,1:29.156,176.898,1
21911,908,776,176,99.0,11,11.0,11,11,0.0,70,+1:08.169,6853227.0,41.0,8.0,1:28.704,177.800,1
21912,908,803,114,20.0,21,12.0,12,12,0.0,70,+1:18.465,6863523.0,41.0,10.0,1:28.883,177.442,1
21913,908,793,197,13.0,20,13.0,13,13,0.0,70,+1:24.024,6869082.0,45.0,12.0,1:29.128,176.954,1
21914,908,804,186,26.0,10,14.0,14,14,0.0,69,,,51.0,14.0,1:29.401,176.414,15
21915,908,800,198,17.0,15,15.0,15,15,0.0,69,,,49.0,16.0,1:29.883,175.468,15
21916,908,801,198,4.0,18,16.0,16,16,0.0,69,,,47.0,15.0,1:29.499,176.220,15
21917,908,798,176,21.0,13,,R,17,0.0,33,,,29.0,18.0,1:30.485,174.300,36
21918,908,785,199,10.0,17,,R,18,0.0,26,,,21.0,19.0,1:32.888,169.791,36
